exp,num_vars,c,algorithm,time_ms,mults,trial,num_non_zero,batch_size
16,65536,0.005,DotProduct,138, 3259257, 0, 3193722, 49
16,65536,0.005,InsideOut,145, 3211117, 0,3193722,49
16,65536,0.005,SparseDot,133, 3206776, 0,3193722, 49
16,65536,0.5,DotProduct,75, 1662151, 0, 1596616, 49
16,65536,0.5,InsideOut,126, 2756054, 0,1596616,49
16,65536,0.5,SparseDot,68, 1609670, 0,1596616, 49
16,65536,0.75,DotProduct,39, 855219, 0, 789684, 49
16,65536,0.75,InsideOut,93, 1997926, 0,789684,49
16,65536,0.75,SparseDot,34, 802738, 0,789684, 49
18,262144,0.005,DotProduct,556, 13041637, 0, 12779494, 49
18,262144,0.005,InsideOut,572, 12844958, 0,12779494,49
18,262144,0.005,SparseDot,547, 12805604, 0,12779494, 49
18,262144,0.5,DotProduct,306, 6682074, 0, 6419931, 49
18,262144,0.5,InsideOut,503, 11028871, 0,6419931,49
18,262144,0.5,SparseDot,276, 6446041, 0,6419931, 49
18,262144,0.75,DotProduct,180, 3463999, 0, 3201856, 49
18,262144,0.75,InsideOut,373, 8035265, 0,3201856,49
18,262144,0.75,SparseDot,140, 3227966, 0,3201856, 49
20,1048576,0.005,DotProduct,2181, 52171010, 0, 51122435, 49
20,1048576,0.005,InsideOut,2431, 51379440, 0,51122435,49
20,1048576,0.005,SparseDot,2152, 51174657, 0,51122435, 49
20,1048576,0.5,DotProduct,1216, 26699928, 0, 25651353, 49
20,1048576,0.5,InsideOut,1976, 44090739, 0,25651353,49
20,1048576,0.5,SparseDot,1129, 25703575, 0,25651353, 49
20,1048576,0.75,DotProduct,649, 13863545, 0, 12814970, 49
20,1048576,0.75,InsideOut,1488, 32138659, 0,12814970,49
20,1048576,0.75,SparseDot,572, 12867192, 0,12814970, 49
