exp,num_vars,c,algorithm,time_ms,mults,trial,num_non_zero,batch_size
16,65536,0.005,DotProduct,139, 3259257, 0, 3193722, 49
16,65536,0.005,InsideOut,144, 3211117, 0,3193722,49
16,65536,0.005,SparseDot,136, 3206776, 0,3193722, 49
16,65536,0.5,DotProduct,75, 1662151, 0, 1596616, 49
16,65536,0.5,InsideOut,128, 2756054, 0,1596616,49
16,65536,0.5,SparseDot,65, 1609670, 0,1596616, 49
16,65536,0.75,DotProduct,39, 855219, 0, 789684, 49
16,65536,0.75,InsideOut,94, 1997926, 0,789684,49
16,65536,0.75,SparseDot,35, 802738, 0,789684, 49
18,262144,0.005,DotProduct,559, 13041637, 0, 12779494, 49
18,262144,0.005,InsideOut,580, 12844958, 0,12779494,49
18,262144,0.005,SparseDot,553, 12805604, 0,12779494, 49
18,262144,0.5,DotProduct,306, 6682074, 0, 6419931, 49
18,262144,0.5,InsideOut,505, 11028871, 0,6419931,49
18,262144,0.5,SparseDot,279, 6446041, 0,6419931, 49
18,262144,0.75,DotProduct,162, 3463999, 0, 3201856, 49
18,262144,0.75,InsideOut,371, 8035265, 0,3201856,49
18,262144,0.75,SparseDot,142, 3227966, 0,3201856, 49
20,1048576,0.005,DotProduct,2178, 52171010, 0, 51122435, 49
20,1048576,0.005,InsideOut,2269, 51379440, 0,51122435,49
20,1048576,0.005,SparseDot,2203, 51174657, 0,51122435, 49
20,1048576,0.5,DotProduct,1220, 26699928, 0, 25651353, 49
20,1048576,0.5,InsideOut,2001, 44090739, 0,25651353,49
20,1048576,0.5,SparseDot,1125, 25703575, 0,25651353, 49
20,1048576,0.75,DotProduct,654, 13863545, 0, 12814970, 49
20,1048576,0.75,InsideOut,1470, 32138659, 0,12814970,49
20,1048576,0.75,SparseDot,564, 12867192, 0,12814970, 49
