exp,num_vars,c,algorithm,time_ms,mults,num_non_zero,trial
14,16384,0.2,DotProduct,3,32767,13099,0
14,16384,0.2,InsideOut,1,16047,13099,0
14,16384,0.2,SparseDot,1,13481,13099,0
14,16384,0.2,DotProduct,2,32767,13099,1
14,16384,0.2,InsideOut,1,16047,13099,1
14,16384,0.2,SparseDot,0,13481,13099,1
14,16384,0.2,DotProduct,1,32767,13099,2
14,16384,0.2,InsideOut,0,16047,13099,2
14,16384,0.2,SparseDot,0,13481,13099,2
14,16384,0.35,DotProduct,2,32767,10716,0
14,16384,0.35,InsideOut,0,15330,10716,0
14,16384,0.35,SparseDot,0,11098,10716,0
14,16384,0.35,DotProduct,1,32767,10716,1
14,16384,0.35,InsideOut,0,15330,10716,1
14,16384,0.35,SparseDot,0,11098,10716,1
14,16384,0.35,DotProduct,1,32767,10716,2
14,16384,0.35,InsideOut,0,15330,10716,2
14,16384,0.35,SparseDot,0,11098,10716,2
14,16384,0.5,DotProduct,1,32767,8165,0
14,16384,0.5,InsideOut,0,14060,8165,0
14,16384,0.5,SparseDot,0,8547,8165,0
14,16384,0.5,DotProduct,1,32767,8165,1
14,16384,0.5,InsideOut,0,14060,8165,1
14,16384,0.5,SparseDot,0,8547,8165,1
14,16384,0.5,DotProduct,1,32767,8165,2
14,16384,0.5,InsideOut,0,14060,8165,2
14,16384,0.5,SparseDot,0,8547,8165,2
14,16384,0.66,DotProduct,1,32767,5507,0
14,16384,0.66,InsideOut,0,12009,5507,0
14,16384,0.66,SparseDot,0,5889,5507,0
14,16384,0.66,DotProduct,1,32767,5507,1
14,16384,0.66,InsideOut,0,12009,5507,1
14,16384,0.66,SparseDot,0,5889,5507,1
14,16384,0.66,DotProduct,1,32767,5507,2
14,16384,0.66,InsideOut,0,12009,5507,2
14,16384,0.66,SparseDot,0,5889,5507,2
14,16384,0.75,DotProduct,1,32767,3982,0
14,16384,0.75,InsideOut,0,10118,3982,0
14,16384,0.75,SparseDot,0,4364,3982,0
14,16384,0.75,DotProduct,1,32767,3982,1
14,16384,0.75,InsideOut,0,10118,3982,1
14,16384,0.75,SparseDot,0,4364,3982,1
14,16384,0.75,DotProduct,1,32767,3982,2
14,16384,0.75,InsideOut,0,10118,3982,2
14,16384,0.75,SparseDot,0,4364,3982,2
14,16384,0.95,DotProduct,1,32767,792,0
14,16384,0.95,InsideOut,0,3647,792,0
14,16384,0.95,SparseDot,0,1174,792,0
14,16384,0.95,DotProduct,1,32767,792,1
14,16384,0.95,InsideOut,0,3647,792,1
14,16384,0.95,SparseDot,0,1174,792,1
14,16384,0.95,DotProduct,1,32767,792,2
14,16384,0.95,InsideOut,0,3647,792,2
14,16384,0.95,SparseDot,0,1174,792,2
16,65536,0.2,DotProduct,4,131071,52353,0
16,65536,0.2,InsideOut,3,64223,52353,0
16,65536,0.2,SparseDot,2,53119,52353,0
16,65536,0.2,DotProduct,4,131071,52353,1
16,65536,0.2,InsideOut,3,64223,52353,1
16,65536,0.2,SparseDot,2,53119,52353,1
16,65536,0.2,DotProduct,4,131071,52353,2
16,65536,0.2,InsideOut,3,64223,52353,2
16,65536,0.2,SparseDot,2,53119,52353,2
16,65536,0.35,DotProduct,5,131071,42549,0
16,65536,0.35,InsideOut,4,61227,42549,0
16,65536,0.35,SparseDot,2,43315,42549,0
16,65536,0.35,DotProduct,5,131071,42549,1
16,65536,0.35,InsideOut,4,61227,42549,1
16,65536,0.35,SparseDot,1,43315,42549,1
16,65536,0.35,DotProduct,4,131071,42549,2
16,65536,0.35,InsideOut,3,61227,42549,2
16,65536,0.35,SparseDot,2,43315,42549,2
16,65536,0.5,DotProduct,4,131071,32584,0
16,65536,0.5,InsideOut,3,56246,32584,0
16,65536,0.5,SparseDot,1,33350,32584,0
16,65536,0.5,DotProduct,4,131071,32584,1
16,65536,0.5,InsideOut,3,56246,32584,1
16,65536,0.5,SparseDot,1,33350,32584,1
16,65536,0.5,DotProduct,4,131071,32584,2
16,65536,0.5,InsideOut,3,56246,32584,2
16,65536,0.5,SparseDot,1,33350,32584,2
16,65536,0.66,DotProduct,4,131071,22206,0
16,65536,0.66,InsideOut,2,47787,22206,0
16,65536,0.66,SparseDot,1,22972,22206,0
16,65536,0.66,DotProduct,4,131071,22206,1
16,65536,0.66,InsideOut,2,47787,22206,1
16,65536,0.66,SparseDot,1,22972,22206,1
16,65536,0.66,DotProduct,4,131071,22206,2
16,65536,0.66,InsideOut,2,47787,22206,2
16,65536,0.66,SparseDot,1,22972,22206,2
16,65536,0.75,DotProduct,4,131071,16116,0
16,65536,0.75,InsideOut,2,40774,16116,0
16,65536,0.75,SparseDot,0,16882,16116,0
16,65536,0.75,DotProduct,4,131071,16116,1
16,65536,0.75,InsideOut,2,40774,16116,1
16,65536,0.75,SparseDot,0,16882,16116,1
16,65536,0.75,DotProduct,4,131071,16116,2
16,65536,0.75,InsideOut,2,40774,16116,2
16,65536,0.75,SparseDot,0,16882,16116,2
16,65536,0.95,DotProduct,4,131071,3214,0
16,65536,0.95,InsideOut,1,14678,3214,0
16,65536,0.95,SparseDot,0,3980,3214,0
16,65536,0.95,DotProduct,4,131071,3214,1
16,65536,0.95,InsideOut,1,14678,3214,1
16,65536,0.95,SparseDot,0,3980,3214,1
16,65536,0.95,DotProduct,4,131071,3214,2
16,65536,0.95,InsideOut,1,14678,3214,2
16,65536,0.95,SparseDot,0,3980,3214,2
18,262144,0.2,DotProduct,23,524287,209693,0
18,262144,0.2,InsideOut,12,256838,209693,0
18,262144,0.2,SparseDot,9,211227,209693,0
18,262144,0.2,DotProduct,23,524287,209693,1
18,262144,0.2,InsideOut,12,256838,209693,1
18,262144,0.2,SparseDot,9,211227,209693,1
18,262144,0.2,DotProduct,23,524287,209693,2
18,262144,0.2,InsideOut,12,256838,209693,2
18,262144,0.2,SparseDot,9,211227,209693,2
18,262144,0.35,DotProduct,23,524287,170393,0
18,262144,0.35,InsideOut,11,244938,170393,0
18,262144,0.35,SparseDot,7,171927,170393,0
18,262144,0.35,DotProduct,23,524287,170393,1
18,262144,0.35,InsideOut,11,244938,170393,1
18,262144,0.35,SparseDot,7,171927,170393,1
18,262144,0.35,DotProduct,23,524287,170393,2
18,262144,0.35,InsideOut,11,244938,170393,2
18,262144,0.35,SparseDot,7,171927,170393,2
18,262144,0.5,DotProduct,22,524287,131019,0
18,262144,0.5,InsideOut,11,225079,131019,0
18,262144,0.5,SparseDot,6,132553,131019,0
18,262144,0.5,DotProduct,23,524287,131019,1
18,262144,0.5,InsideOut,11,225079,131019,1
18,262144,0.5,SparseDot,6,132553,131019,1
18,262144,0.5,DotProduct,22,524287,131019,2
18,262144,0.5,InsideOut,10,225079,131019,2
18,262144,0.5,SparseDot,6,132553,131019,2
18,262144,0.66,DotProduct,23,524287,89233,0
18,262144,0.66,InsideOut,9,191235,89233,0
18,262144,0.66,SparseDot,4,90767,89233,0
18,262144,0.66,DotProduct,22,524287,89233,1
18,262144,0.66,InsideOut,9,191235,89233,1
18,262144,0.66,SparseDot,4,90767,89233,1
18,262144,0.66,DotProduct,23,524287,89233,2
18,262144,0.66,InsideOut,9,191235,89233,2
18,262144,0.66,SparseDot,4,90767,89233,2
18,262144,0.75,DotProduct,23,524287,65344,0
18,262144,0.75,InsideOut,8,163985,65344,0
18,262144,0.75,SparseDot,3,66878,65344,0
18,262144,0.75,DotProduct,23,524287,65344,1
18,262144,0.75,InsideOut,8,163985,65344,1
18,262144,0.75,SparseDot,3,66878,65344,1
18,262144,0.75,DotProduct,22,524287,65344,2
18,262144,0.75,InsideOut,8,163985,65344,2
18,262144,0.75,SparseDot,3,66878,65344,2
18,262144,0.95,DotProduct,23,524287,12838,0
18,262144,0.95,InsideOut,3,59081,12838,0
18,262144,0.95,SparseDot,0,14372,12838,0
18,262144,0.95,DotProduct,22,524287,12838,1
18,262144,0.95,InsideOut,3,59081,12838,1
18,262144,0.95,SparseDot,0,14372,12838,1
18,262144,0.95,DotProduct,23,524287,12838,2
18,262144,0.95,InsideOut,3,59081,12838,2
18,262144,0.95,SparseDot,0,14372,12838,2
20,1048576,0.2,DotProduct,85,2097151,838922,0
20,1048576,0.2,InsideOut,48,1027270,838922,0
20,1048576,0.2,SparseDot,38,841992,838922,0
20,1048576,0.2,DotProduct,91,2097151,838922,1
20,1048576,0.2,InsideOut,48,1027270,838922,1
20,1048576,0.2,SparseDot,38,841992,838922,1
20,1048576,0.2,DotProduct,91,2097151,838922,2
20,1048576,0.2,InsideOut,48,1027270,838922,2
20,1048576,0.2,SparseDot,38,841992,838922,2
20,1048576,0.35,DotProduct,91,2097151,681293,0
20,1048576,0.35,InsideOut,46,980468,681293,0
20,1048576,0.35,SparseDot,31,684363,681293,0
20,1048576,0.35,DotProduct,91,2097151,681293,1
20,1048576,0.35,InsideOut,46,980468,681293,1
20,1048576,0.35,SparseDot,31,684363,681293,1
20,1048576,0.35,DotProduct,91,2097151,681293,2
20,1048576,0.35,InsideOut,46,980468,681293,2
20,1048576,0.35,SparseDot,31,684363,681293,2
20,1048576,0.5,DotProduct,90,2097151,523497,0
20,1048576,0.5,InsideOut,43,899811,523497,0
20,1048576,0.5,SparseDot,24,526567,523497,0
20,1048576,0.5,DotProduct,91,2097151,523497,1
